Latitude,Longitude,Accuracy,Drainage Name,Year,Month,Day,lat_lon
18.32001,-65.32305,Accurate,Greater Antilles,2022,3.0,17.0,"(-65.32305, 18.32001)"
18.33195,-65.31365,Accurate,Greater Antilles,2021,7.0,19.0,"(-65.31365, 18.33195)"
18.29926,-65.32767,Accurate,Greater Antilles,2021,11.0,9.0,"(-65.32767, 18.29926)"
18.27716,-65.28632,Accurate,Greater Antilles,2020,2.0,28.0,"(-65.28632, 18.27716)"
18.32342,-65.33088,Accurate,Greater Antilles,2014,2.0,23.0,"(-65.33088, 18.32342)"
18.30301,-67.31071,Accurate,Greater Antilles,2013,12.0,26.0,"(-67.31071, 18.30301)"
18.30362,-65.28062,Accurate,Puerto Rican Islands,2016,12.0,29.0,"(-65.28062, 18.30362)"
18.33,-65.33,Accurate,Puerto Rican Islands,2011,2.0,10.0,"(-65.33, 18.33)"
18.32623,-65.26327,Accurate,Greater Antilles,2014,8.0,10.0,"(-65.26327, 18.32623)"
18.33135,-65.31988,Accurate,Greater Antilles,2012,8.0,8.0,"(-65.31988, 18.33135)"
18.32285,-65.33154,Accurate,Greater Antilles,2015,1.0,15.0,"(-65.33154, 18.32285)"
18.3821,-65.3821,Accurate,Greater Antilles,2014,2.0,13.0,"(-65.3821, 18.3821)"
18.31288,-65.31686,Approximate,Greater Antilles,2013,12.0,22.0,"(-65.31686, 18.31288)"
18.31111,-65.315,Accurate,Puerto Rican Islands,2013,12.0,28.0,"(-65.315, 18.31111)"
18.32311,-65.33093,Approximate,Greater Antilles,2013,4.0,30.0,"(-65.33093, 18.32311)"
18.29307,-65.28069,Accurate,Greater Antilles,2012,2.0,1.0,"(-65.28069, 18.29307)"
18.3049,-65.30129,Approximate,Greater Antilles,2015,12.0,26.0,"(-65.30129, 18.3049)"
18.3169,-65.29,Accurate,Puerto Rican Islands,2015,12.0,12.0,"(-65.29, 18.3169)"
18.32483,-65.3233,Accurate,Puerto Rican Islands,2014,12.0,24.0,"(-65.3233, 18.32483)"
18.31362,-65.3185,Approximate,Greater Antilles,2014,1.0,12.0,"(-65.3185, 18.31362)"
